"Source ID","IMDb ID","Movie Name","Genre","Rating","Duration"
"OMDB","tt0482571","The Prestige","Drama, Mystery, Sci-Fi","PG-13","2H10M"
"TMDB","tt0482571","The Prestige","Drama, Mystery, Science Fiction","PG-13","2H10M"
"Rotten Tomatoes","tt0482571","The Prestige","Drama, Fantasy, Mystery & Thriller","PG-13","2H10M"
"Allmovies.com","tt0482571","The Prestige","Drama, Mystery-Suspense, Science Fiction, Thriller","PG-13","2H10M"
"justwatch.com","tt0482571","The Prestige","Drama, Science-Fiction, Mystery Thriller","PG-13","2H10M"
"Metacritic","tt0482571","The Prestige","Drama, Mystery, Sci-Fi, Thriller","PG-13","2H10M"
"OMDB","tt0056058","Harakiri","Action, Drama, Mystery","Not Rated","2H13M"
"TMDB","tt0056058","Harakiri","Action, Drama, History","NR","2H15M"
"OMDB","tt0114814","The Usual Suspects","Crime, Drama, Mystery","R","1H46M"
"TMDB","tt0114814","The Usual Suspects","Drama, Crime, Thriller","R","1H46M"
"Rotten Tomatoes","tt0114814","The Usual Suspects","Mystery & Thriller, Crime, Drama","R","1H45M"
"Allmovies.com","tt0114814","The Usual Suspects","Crime, Drama, Mystery-Suspense, Thriller","R","1H46M"
"justwatch.com","tt0114814","The Usual Suspects","Mystery & Thriller, Drama, Crime, Heist, Dark Crime","R","1H46M"
"Metacritic","tt0114814","The Usual Suspects","Crime, Drama, Mystery, Thriller","R","1H46M"
"OMDB","tt0034583","Casablanca","Drama, Romance, War","PG","1H42M"
"TMDB","tt0034583","Casablanca","Drama, Romance","PG","1H42M"
"Rotten Tomatoes","tt0034583","Casablanca","Drama","PG","1H42M"
"Allmovies.com","tt0034583","Casablanca","Drama, Romance, War","PG","1H42M"
"justwatch.com","tt0034583","Casablanca","Drama, Romance, War & Military, Romantic Drama, Romantic Epics","PG","1H42M"
"Metacritic","tt0034583","Casablanca","Drama, Romance, War","TV-PG","1H42M"
"OMDB","tt15239678","Dune: Part Two","Action, Adventure, Drama","PG-13","2H46M"
"TMDB","tt15239678","Dune: Part Two","Science Fiction, Adventure","PG-13","2H47M"
"justwatch.com","tt15239678","Dune: Part Two","Science-Fiction, Drama, Action Adventure","PG-13","2H47M"
"Metacritic","tt15239678","Dune: Part Two","Action, Adventure, Drama, Sci-Fi","PG-13","3H15M"
"OMDB","tt1675434","The Intouchables","Comedy, Drama","R","1H52M"
"TMDB","tt1675434","The Intouchables","Drama, Comedy","R","1H53M"
"Rotten Tomatoes","tt1675434","The Intouchables","Comedy","R","1H52M"
"Allmovies.com","tt1675434","The Intouchables","Biography, Comedy, Drama","R","1H53M"
"justwatch.com","tt1675434","The Intouchables","Drama, Comedy, Based On A True Story","R","1H52M"
"Metacritic","tt1675434","The Intouchables","Comedy, Drama","TV-14","1H52M"
"OMDB","tt0095765","Cinema Paradiso","Drama, Romance","PG","2H54M"
"TMDB","tt0095765","Cinema Paradiso","Drama, Romance","PG","2H4M"
"Rotten Tomatoes","tt0095765","Cinema Paradiso","Drama","PG","2H3M"
"Allmovies.com","tt0095765","Cinema Paradiso","Drama, Romance","R","2H35M"
"justwatch.com","tt0095765","Cinema Paradiso","Drama, Romance, Made in Europe, Romantic Drama","PG","2H4M"
"Metacritic","tt0095765","Cinema Paradiso","Drama, Romance","PG","2H35M"
"OMDB","tt0027977","Modern Times","Comedy, Drama, Romance","G","1H27M"
"TMDB","tt0027977","Modern Times","Comedy, Drama, Romance","G","1H27M"
"Rotten Tomatoes","tt0027977","Modern Times","Comedy","G","1H29M"
"Allmovies.com","tt0027977","Modern Times","Comedy, Comedy Drama, Drama, Family, Romance","G","1H27M"
"justwatch.com","tt0027977","Modern Times","Romance, Comedy, Drama, Dramedy","G","1H27M"
"Metacritic","tt0027977","Modern Times (re-release)","Comedy, Drama, Romance","TV-Y7","1H27M"
"OMDB","tt0078748","Alien","Horror, Sci-Fi","R","1H57M"
"TMDB","tt0078748","Alien","Horror, Science Fiction","R","1H57M"
"Allmovies.com","tt0078748","Alien","Horror, Science Fiction","R","1H57M"
"justwatch.com","tt0078748","Alien","Science-Fiction, Horror, SciFi Horror","R","1H57M"
"Metacritic","tt0078748","Alien","Horror, Sci-Fi","TV-14","1H57M"
"OMDB","tt0047396","Rear Window","Mystery, Thriller","PG","1H52M"
