"IMDb ID","Movie Name","Genre","Rating","Duration"
"tt0046268","The Wages of Fear","Adventure, Drama, Thriller","Not Rated","2H36M"
"tt1950186","Ford v Ferrari","Action, Biography, Drama","PG-13","2H32M"
"tt0050986","Wild Strawberries","Drama, Romance","Not Rated","1H32M"
"tt0031679","Mr. Smith Goes to Washington","Comedy, Drama","Approved","2H9M"
"tt0041959","The Third Man","Film-Noir, Mystery, Thriller","Approved","1H33M"
"tt3315342","Logan","Action, Drama, Sci-Fi","R","2H17M"
"tt0075148","Rocky","Drama, Sport","PG","2H"
"tt0046438","Tokyo Story","Drama","Not Rated","2H16M"
"tt0118715","The Big Lebowski","Comedy, Crime","R","1H57M"
"tt0050976","The Seventh Seal","Drama, Fantasy","Not Rated","1H36M"
"tt3170832","Room","Drama, Thriller","R","1H58M"
"tt1895587","Spotlight","Biography, Crime, Drama","R","2H9M"
"tt0088247","The Terminator","Action, Adventure, Sci-Fi","R","1H47M"
"tt0395169","Hotel Rwanda","Biography, Drama, History","PG-13","2H1M"
"tt0091763","Platoon","Drama, War","R","2H"
"tt0049902","A Man Escaped","Drama, Thriller, War","Not Rated","1H41M"
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl","Action, Adventure, Fantasy","PG-13","2H23M"
"tt0113247","La haine","Crime, Drama","Not Rated","1H38M"
"tt0381681","Before Sunset","Drama, Romance","R","1H20M"
"tt15097216","Jai Bhim","Crime, Drama, Mystery","Approved","2H44M"
"tt0019254","The Passion of Joan of Arc","Biography, Drama, History","Passed","1H54M"
"tt0036868","The Best Years of Our Lives","Drama, Romance, War","Approved","2H50M"
"tt0070047","The Exorcist","Horror","R","2H2M"
"tt1979320","Rush","Action, Biography, Drama","R","2H3M"
"tt0317705","The Incredibles","Animation, Action, Adventure","PG","1H55M"
"tt0032138","The Wizard of Oz","Adventure, Family, Fantasy","G","1H42M"
"tt0074958","Network","Drama","R","2H1M"
"tt0092005","Stand by Me","Adventure, Comedy, Drama","R","1H29M"
"tt1028532","Hachi: A Dog's Tale","Biography, Drama, Family","G","1H33M"
"tt0059742","The Sound of Music","Biography, Drama, Family","G","2H52M"
"tt0476735","My Father and My Son","Drama, Family","Not Rated","1H52M"
"tt4016934","The Handmaiden","Drama, Romance, Thriller","Not Rated","2H25M"
"tt0035446","To Be or Not to Be","Comedy, Romance, War","Approved","1H39M"
"tt0758758","Into the Wild","Adventure, Biography, Drama","R","2H28M"
"tt0058946","The Battle of Algiers","Drama, War","Not Rated","2H1M"
"tt0129167","The Iron Giant","Animation, Action, Adventure","PG","1H26M"
"tt0032551","The Grapes of Wrath","Drama","Approved","2H9M"
"tt0107048","Groundhog Day","Comedy, Drama, Fantasy","PG","1H41M"
"tt0245712","Amores Perros","Drama, Thriller","R","2H34M"
"tt0032976","Rebecca","Drama, Mystery, Romance","Approved","2H10M"
"tt1454029","The Help","Drama","PG-13","2H26M"
"tt0061512","Cool Hand Luke","Crime, Drama","Approved","2H7M"
"tt0025316","It Happened One Night","Comedy, Romance","Approved","1H45M"
"tt5323662","A Silent Voice: The Movie","Animation, Drama","Not Rated","2H10M"
